date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:42	160768/160768	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225b2a854c-27400%22	http://kyle.malyarchuk.space/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-solid-900.eot	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:43	76632/76632	---M--	200	added ('OK')	font/woff	etag:%225b2a854c-12b58%22	http://kyle.malyarchuk.space/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-solid-900.woff	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:54	160768/160768	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225b2a854c-27400%22	http://kyle.malyarchuk.space/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-solid-900d41d.eot	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:57	413/413	---M--	200	added ('OK')	image/svg+xml	etag:%225dc9471e-19d%22	http://kyle.malyarchuk.space/img/icon/play.svg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/icon/play.svg	(from http://kyle.malyarchuk.space/css/style.css)
22:08:59	592839/592839	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b2a854c-90bc7%22	http://kyle.malyarchuk.space/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-solid-900.svg	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:09:05	160548/160548	---M--	200	added ('OK')	application/octet-stream	etag:%225b2a854c-27324%22	http://kyle.malyarchuk.space/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-solid-900.ttf	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:09:06	1211/1211	---M--	200	added ('OK')	image/png	etag:%225db6f0b4-4bb%22	http://kyle.malyarchuk.space/img/logo.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/logo.png	(from http://kyle.malyarchuk.space/css/style.css)
22:09:09	710/710	---M--	200	added ('OK')	image/png	etag:%225db77790-2c6%22	http://kyle.malyarchuk.space/img/icon/hover.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/icon/hover.png	(from http://kyle.malyarchuk.space/css/style.css)
22:09:09	588/588	---M--	200	added ('OK')	image/png	etag:%225db7682f-24c%22	http://kyle.malyarchuk.space/img/icon/grab.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/icon/grab.png	(from http://kyle.malyarchuk.space/css/style.css)
22:09:10	145228/145228	---M--	200	added ('OK')	image/jpeg	etag:%225dc94714-2374c%22	http://kyle.malyarchuk.space/img/video-bg.jpg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/video-bg.jpg	(from http://kyle.malyarchuk.space/css/style.css)
22:09:11	779/779	---M--	200	added ('OK')	image/png	etag:%225db81ecd-30b%22	http://kyle.malyarchuk.space/img/icon/sound.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/icon/sound.png	(from http://kyle.malyarchuk.space/css/style.css)
22:09:13	709/709	---M--	200	added ('OK')	image/png	etag:%225dbcbb8a-2c5%22	http://kyle.malyarchuk.space/img/icon/pen.png	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/img/icon/pen.png	(from http://kyle.malyarchuk.space/css/style.css)
22:09:18	20118/20118	---MCZ	200	added ('OK')	text/html	etag:W/%225e409d4e-4e96%22	http://kyle.malyarchuk.space/index.html	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/index.html	(from http://kyle.malyarchuk.space/blog-page.html)
